PESEL;Name;Surname
66070955580;Aleksander;Babko
98100747135;Aleksanda;Sosna
75012082772;Natalia;Nowak
95031844352;Anna;Rumianek
87091311161;Aleksanda;Kaduszko
29091610178;Sebastian;Kaczanka
41091664522;Micha³;Tygrys
34120167433;Magdalena;Baczak
70060386427;Magdalena;Jaskó³ka
35062296555;Micha³;Trawa
24100355299;Piotr;Sosna
96052148006;Aleksander;Jaskó³ka
52112397808;Adam;Kaczanka
19112257441;Marcin;Kadaœ
21021714837;Alicja;Sosna
72122057281;Dominik;Sosna
85020146800;Marcin;Kowalczyk
46110630547;Sebastian;Wróbel
97071797469;Daria;Abarowicz
66112733709;Piotr;Baczak
74120897322;Micha³;Deszczowiec
51110165822;Magdalena;Kabela
83022122883;Piotr;Rumianek
61010119990;Paulina;O³ówek
98072781092;Joanna;Wróbel
82081347294;Natalia;Tygrys
18040755787;Katarzyna;Baczak
00021898259;Aleksanda;Jaskó³ka
82101516048;Piotr;Abelec
30101964938;Aleksander;Maksymowicz
67072718092;Klaudia;Kabela
24042149709;Natalia;Rumianek
18112468995;Anna;Ró¿a
53030731325;Adam;Struœ
12050984783;Sebastian;Nowak
59072461720;Marcin;Nowak
05070941599;Micha³;Trawa
25052592500;Klaudia;Trawa
08112659755;Krzysztof;Jaskó³ka
64082893520;Dominik;Kowalczyk
53042362106;Magdalena;Wróbel
22050745544;Martyna;Wróbel
39100121095;Marcin;Kaczmarek
85030699412;Konrad;Bachara
81061163649;Konrad;Trawa
34110637624;Martyna;Wróbel
80102432708;Sebastian;Kabela
57060425469;Piotr;Brzoza
72051517507;Dominik;O³ówek
02041629610;Konrad;Kowalczyk
76031543814;Piotr;Kacprzak
10080621355;Jakub;Kaczanka
69082482663;Krzysztof;Abaszyn
19080781232;Martyna;Trawa
82070110317;Sebastian;Struœ
58081869831;Aleksander;Baczak
42091962184;Daria;Babko
88120670076;Katarzyna;Kowalczyk
54110843084;Krzysztof;Nowak
90070839986;Sebastian;Rumianek
66032130248;Krzysztof;Maksymowicz
32041117044;Mateusz;Kadaœ
71011697766;Krzysztof;Kaczka
55040391405;Anna;Kacprzak
81052345796;Natalia;Kacprzak
80111654379;Paulina;Kacera
