ID: 1	66070955580;Aleksander;Babko
ID: 2	98100747135;Aleksanda;Sosna
ID: 3	75012082772;Natalia;Nowak
ID: 4	87091311161;Aleksanda;Kaduszko
ID: 5	29091610178;Sebastian;Kaczanka
ID: 6	41091664522;Micha³;Tygrys
ID: 7	34120167433;Magdalena;Baczak
ID: 8	70060386427;Magdalena;Jaskó³ka
ID: 9	35062296555;Micha³;Trawa
ID: 10	24100355299;Piotr;Sosna
ID: 11	96052148006;Aleksander;Jaskó³ka
ID: 12	19112257441;Marcin;Kadaœ
ID: 13	21021714837;Alicja;Sosna
ID: 14	72122057281;Dominik;Sosna
ID: 15	85020146800;Marcin;Kowalczyk
ID: 16	46110630547;Sebastian;Wróbel
ID: 17	97071797469;Daria;Abarowicz
ID: 18	66112733709;Piotr;Baczak
ID: 19	74120897322;Micha³;Deszczowiec
ID: 20	83022122883;Piotr;Rumianek
ID: 21	61010119990;Paulina;O³ówek
ID: 22	98072781092;Joanna;Wróbel
ID: 23	00021898259;Aleksanda;Jaskó³ka
ID: 24	82101516048;Piotr;Abelec
ID: 25	30101964938;Aleksander;Maksymowicz
ID: 26	67072718092;Klaudia;Kabela
ID: 27	53030731325;Adam;Struœ
ID: 28	12050984783;Sebastian;Nowak
ID: 29	59072461720;Marcin;Nowak
ID: 30	05070941599;Micha³;Trawa
ID: 31	25052592500;Klaudia;Trawa
ID: 32	08112659755;Krzysztof;Jaskó³ka
ID: 33	64082893520;Dominik;Kowalczyk
ID: 34	53042362106;Magdalena;Wróbel
ID: 35	22050745544;Martyna;Wróbel
ID: 36	39100121095;Marcin;Kaczmarek
ID: 37	85030699412;Konrad;Bachara
ID: 38	81061163649;Konrad;Trawa
ID: 39	34110637624;Martyna;Wróbel
ID: 40	80102432708;Sebastian;Kabela
ID: 41	57060425469;Piotr;Brzoza
ID: 42	72051517507;Dominik;O³ówek
ID: 43	02041629610;Konrad;Kowalczyk
ID: 44	76031543814;Piotr;Kacprzak
ID: 45	10080621355;Jakub;Kaczanka
ID: 46	19080781232;Martyna;Trawa
ID: 47	58081869831;Aleksander;Baczak
ID: 48	42091962184;Daria;Babko
ID: 49	88120670076;Katarzyna;Kowalczyk
ID: 50	90070839986;Sebastian;Rumianek
ID: 51	66032130248;Krzysztof;Maksymowicz
ID: 52	32041117044;Mateusz;Kadaœ
ID: 53	71011697766;Krzysztof;Kaczka
ID: 54	55040391405;Anna;Kacprzak
ID: 55	80111654379;Paulina;Kacera
ID: 56	64022434900;Katarzyna;Maksymowicz
ID: 57	25031145517;Konrad;Kadula
ID: 58	16031428519;Adam;Kaczmarek
ID: 59	84032822027;Dominik;Rumianek
ID: 60	69060941222;Aleksander;Kaczmarzyk
ID: 61	32031245963;Krzysztof;O³ówek
ID: 62	68070583307;Micha³;Sosna
ID: 63	09080135108;Jakub;Kaczka
ID: 64	41021185200;Dominik;Gêœ
ID: 65	30072314018;Klaudia;Maksymowicz
ID: 66	25031633698;Alicja;Jab³ko
ID: 67	32092873876;Mateusz;Tygrys
ID: 68	53122736312;Piotr;Nowak
ID: 69	57110852143;Anna;Bachara
ID: 70	18032884636;Sebastian;Tygrys
ID: 71	10012124651;Natalia;Tygrys
ID: 72	18042237456;Piotr;Struœ
ID: 73	88041235355;Joanna;Maksymowicz
ID: 74	80011281819;Magdalena;Jab³ko
ID: 75	87042350328;Martyna;Brzoza
ID: 76	30032113907;Marcin;Trawa
ID: 77	01091216531;Krzysztof;Kacprzak
ID: 78	46040125600;Konrad;Kacprzak
ID: 79	47101028183;Krzysztof;Kaduszko
ID: 80	28082657971;Daria;Rumianek
ID: 81	67111669349;Jakub;Kaduszko
ID: 82	17040743133;Alicja;Kaczka
ID: 83	91021644510;Aleksanda;Kacera
ID: 84	02101757484;Micha³;Babko
ID: 85	24072451279;Aleksander;Abaszyn
ID: 86	57031464319;Katarzyna;Kaduszko
ID: 87	37071324680;Daria;Kadaœ
ID: 88	94092554041;Jakub;Abelec
ID: 89	83032430982;Alicja;Trawa
ID: 90	68101533169;Marcin;Abaszyn
ID: 91	73021013440;Piotr;Kaduszko
ID: 92	94010314443;Piotr;Rumianek
ID: 93	51092698250;Daria;Bachara
ID: 94	37112765654;Katarzyna;Deszczowiec
ID: 95	85081168202;Anna;B³aszczyk
ID: 96	80020243438;Paulina;O³ówek
ID: 97	98061765423;Aleksander;Kaczmarzyk
ID: 98	27011389355;Katarzyna;Jaskó³ka
ID: 99	67090179393;Anna;Kaczka
